Open,High,Low,Close,Volume
2139.35,2139.35,2136.4,2136.9,1279
2138.25,2138.9,2137.4,2137.55,487
2137.0,2137.45,2135.65,2136.8,440
2136.55,2136.8,2135.8,2136.5,86
2136.5,2137.5,2135.55,2137.45,500
2135.8,2138.0,2135.8,2137.5,1004
2137.2,2137.45,2136.5,2137.0,266
2137.0,2137.0,2134.0,2134.75,443
2135.0,2135.8,2134.65,2134.65,716
2135.8,2136.45,2134.7,2135.1,533
2134.75,2136.45,2134.1,2136.1,172
2136.2,2136.2,2134.1,2134.9,765
2134.9,2135.0,2132.6,2133.8,1255
2133.0,2135.0,2133.0,2135.0,984
2134.35,2135.0,2133.05,2133.1,351
2133.0,2134.95,2133.0,2134.9,245
2134.85,2135.45,2133.45,2134.45,1027
2134.35,2134.9,2133.0,2134.45,799
2134.65,2134.65,2133.3,2134.0,107
2133.15,2133.95,2131.95,2131.95,654
2131.9,2132.85,2130.95,2131.75,1014
2131.05,2132.5,2130.85,2132.45,963
2131.4,2132.4,2131.0,2132.35,138
2132.35,2132.45,2131.3,2132.35,236
2131.45,2132.75,2131.35,2131.9,256
2131.7,2132.25,2131.2,2132.05,197
2131.9,2131.9,2129.1,2129.6,2218
2129.75,2131.0,2129.4,2130.4,447
2129.4,2130.9,2129.0,2130.7,1128
2129.75,2131.0,2129.1,2130.25,737
2129.4,2131.0,2129.35,2130.7,312
2130.05,2130.75,2129.15,2129.4,695
2129.4,2130.35,2128.0,2128.0,5892
2128.0,2129.65,2127.45,2129.25,1241
2128.55,2129.65,2127.5,2129.65,4002
2129.75,2132.4,2129.4,2132.4,1671
2131.45,2132.8,2130.65,2131.5,755
2131.2,2133.0,2131.2,2133.0,834
2133.0,2133.15,2130.55,2132.45,3749
2130.55,2131.9,2130.45,2130.75,2735
2130.75,2132.85,2130.75,2132.85,216
2132.25,2133.35,2132.25,2133.0,1056
2133.0,2133.9,2132.35,2133.9,664
2133.95,2134.0,2132.75,2132.75,1030
2132.95,2133.9,2132.95,2133.25,663
2132.3,2133.6,2132.15,2133.6,403
2133.15,2134.35,2133.05,2134.35,383
2133.0,2135.0,2132.85,2133.95,1049
2133.25,2134.45,2133.0,2133.0,237
2132.1,2133.5,2131.5,2132.4,913
2131.1,2132.95,2131.0,2132.85,1073
2132.0,2133.0,2131.7,2132.3,227
2131.4,2132.5,2131.4,2132.0,107
2130.45,2132.0,2130.45,2132.0,2157
2132.0,2133.95,2132.0,2133.25,502
2133.25,2133.9,2132.3,2133.9,792
2133.9,2133.9,2132.8,2133.05,615
2132.7,2133.05,2131.25,2132.15,536
2132.15,2132.65,2132.15,2132.6,332
2132.45,2132.45,2131.1,2131.35,766
2131.1,2131.3,2131.0,2131.1,186
2131.0,2131.3,2130.3,2131.3,393
2131.65,2132.2,2131.0,2131.5,60
2131.0,2131.95,2131.0,2131.8,204
2131.25,2131.8,2131.15,2131.65,138
2131.65,2131.85,2130.75,2130.75,905
2129.6,2130.15,2129.0,2130.15,1053
2129.9,2129.9,2128.4,2129.6,1583
2129.4,2130.0,2129.4,2130.0,579
2129.45,2130.3,2129.45,2130.3,847
2131.4,2131.5,2130.7,2131.5,409
2131.5,2131.5,2130.65,2131.15,228
2131.0,2131.7,2130.1,2131.7,231
2131.7,2131.95,2130.6,2131.95,328
2131.2,2131.95,2130.6,2131.95,360
2131.5,2132.0,2131.5,2131.5,384
2131.9,2131.9,2130.05,2131.15,1365
2130.5,2132.0,2130.5,2131.85,785
2131.4,2133.75,2131.25,2133.75,1035
2133.75,2133.9,2133.05,2133.7,415
2133.15,2133.7,2132.75,2133.65,212
2133.0,2133.9,2133.0,2133.9,720
2133.65,2135.0,2133.35,2134.1,673
2133.7,2134.1,2132.15,2133.5,714
2133.45,2133.9,2132.5,2133.9,217
2133.85,2133.85,2132.85,2133.7,446
2132.9,2134.0,2132.05,2134.0,521
2133.85,2134.0,2133.0,2133.95,4278
2133.1,2134.0,2133.1,2134.0,172
2134.0,2136.0,2134.0,2136.0,11102
2135.6,2138.0,2135.6,2137.5,2580
2137.5,2137.5,2134.05,2135.1,3223
2135.8,2135.8,2134.35,2134.35,1482
2133.8,2136.15,2133.35,2136.15,1390
2136.2,2136.85,2135.35,2136.5,770
2135.1,2136.0,2133.85,2135.7,2805
2135.9,2136.0,2135.45,2136.0,6705
2136.15,2139.0,2136.1,2138.95,5498
2138.2,2140.0,2138.1,2140.0,1296
2140.0,2142.0,2140.0,2142.0,5380
2142.2,2142.75,2137.5,2137.5,5157
2137.8,2138.35,2137.0,2137.0,6106
2137.0,2139.85,2137.0,2139.0,11708
2138.9,2143.0,2138.9,2140.7,8401
2141.55,2144.0,2141.15,2141.7,4741
2141.25,2141.45,2138.9,2138.9,2829
2139.0,2142.1,2139.0,2141.45,10157
2141.05,2141.45,2140.75,2140.75,4929
2140.75,2141.0,2139.3,2140.35,1528
2141.0,2141.0,2140.7,2141.0,6879
2140.8,2141.0,2140.65,2141.0,352
2141.0,2141.05,2140.65,2141.05,13175
2143.1,2144.7,2141.05,2141.5,12166
2140.9,2141.6,2139.05,2139.05,2434
2138.45,2141.15,2138.25,2140.5,11945
2141.45,2141.45,2137.85,2138.15,3057
2139.0,2140.3,2138.9,2139.2,644
2139.2,2139.95,2138.2,2139.95,10947
2140.4,2140.4,2138.8,2138.9,1033
2138.8,2140.4,2137.65,2140.4,3770
2140.0,2141.3,2139.35,2140.1,633
2140.1,2141.0,2140.0,2140.75,1297
2140.9,2141.9,2140.5,2140.5,885
2140.5,2141.05,2140.0,2140.35,1942
2140.0,2141.4,2140.0,2141.15,753
2141.4,2142.0,2140.05,2142.0,4604
2141.9,2150.5,2141.1,2150.3,16178
2150.0,2152.05,2148.95,2151.0,9297
2151.05,2151.05,2148.55,2150.3,3953
2151.0,2152.95,2149.55,2152.9,4707
2152.4,2154.0,2151.55,2151.75,3026
2151.8,2152.45,2150.0,2151.0,1427
2150.5,2152.0,2150.0,2150.0,1789
2149.15,2150.1,2148.1,2149.9,2660
2149.55,2149.9,2147.6,2148.05,1152
2146.95,2148.0,2145.95,2145.95,1121
2145.2,2145.9,2145.15,2145.8,388
2145.15,2146.0,2145.15,2146.0,631
2146.0,2147.0,2146.0,2146.4,301
2146.2,2148.25,2145.8,2148.25,4462
2147.6,2149.5,2146.75,2148.3,2776
2148.3,2149.5,2148.05,2149.4,1539
2149.45,2150.0,2148.7,2150.0,2610
2149.95,2150.0,2148.8,2149.9,386
2149.3,2149.8,2149.0,2149.45,740
2149.0,2149.75,2148.9,2149.05,687
2149.7,2150.5,2149.3,2150.3,1905
2150.25,2152.45,2150.25,2152.0,2544
2151.75,2151.8,2149.9,2149.9,2251
2149.3,2150.85,2149.0,2150.1,1749
2149.4,2152.0,2149.3,2152.0,5337
2152.0,2152.0,2151.0,2151.35,1884
2151.7,2151.7,2150.1,2151.45,3959
2150.8,2150.8,2149.5,2149.95,2840
2149.9,2149.9,2148.4,2148.4,3954
2148.2,2148.2,2146.0,2146.95,4997
2146.95,2147.95,2146.35,2147.25,2889
2147.3,2147.45,2146.95,2146.95,2331
2146.45,2146.45,2143.8,2145.4,6357
2145.45,2145.7,2140.3,2140.9,13349
2140.9,2141.45,2140.0,2141.45,7016
2141.45,2144.2,2141.45,2143.55,4363
2144.1,2144.6,2143.65,2144.25,3403
2144.25,2144.25,2143.45,2144.0,6768
2144.0,2145.7,2144.0,2145.45,7720
2145.45,2145.6,2143.15,2143.4,2041
2142.6,2143.4,2142.6,2143.4,3471
2143.25,2145.2,2143.2,2143.5,6850
2144.45,2145.25,2143.4,2143.85,6015
2143.75,2144.25,2143.05,2143.4,2642
2143.4,2143.5,2142.45,2142.5,1424
2142.55,2143.5,2142.45,2143.5,2238
2144.0,2144.9,2143.7,2143.9,2980
2144.9,2144.95,2143.95,2143.95,1888
2143.5,2143.5,2142.35,2142.35,8503
2142.3,2143.3,2140.05,2142.2,3303
2141.65,2142.95,2140.25,2142.95,4502
2142.85,2149.9,2140.2,2147.6,2284
2153.95,2153.95,2153.95,2153.95,1435
2158.8,2169.9,2148.05,2163.3,25803
2163.1,2166.0,2161.55,2162.3,7096
2163.4,2166.65,2163.4,2165.95,5168
2165.0,2173.85,2165.0,2173.0,5255
2172.4,2175.0,2168.0,2173.1,7850
2172.4,2173.9,2167.05,2170.3,4426
2170.3,2171.5,2165.0,2165.85,3024
2165.0,2165.05,2163.25,2164.95,2399
2165.0,2165.0,2162.65,2164.0,3360
2163.25,2163.85,2162.5,2163.1,1623
2163.85,2165.45,2161.55,2162.35,3165
2161.6,2162.35,2159.9,2162.35,4483
2163.75,2163.9,2161.75,2163.9,1523
2164.9,2164.9,2161.55,2162.95,3000
2164.6,2168.0,2164.25,2168.0,2628
2168.0,2169.65,2163.8,2163.8,3815
2163.35,2168.95,2163.35,2168.95,1753
2168.95,2172.0,2167.4,2170.7,5280
2170.8,2174.2,2170.8,2174.2,3710
2174.25,2174.3,2171.35,2171.35,4257
2171.7,2172.75,2170.8,2170.8,1564
2171.25,2178.0,2171.25,2176.05,5839
2177.3,2179.7,2177.0,2178.7,3690
2177.95,2180.0,2177.95,2179.15,4341
2178.55,2181.9,2177.05,2181.05,4380
2179.15,2182.0,2179.15,2179.9,4088
2179.9,2183.5,2179.9,2182.65,3422
2182.05,2183.0,2181.0,2182.9,3913
2182.85,2185.9,2182.85,2185.9,6863
2185.95,2187.0,2184.75,2185.85,8080
2186.0,2186.0,2184.55,2185.15,3397
2185.5,2186.55,2185.0,2186.55,2911
2185.95,2193.4,2185.4,2191.0,13977
2190.55,2193.95,2190.55,2193.85,5219
2193.85,2197.45,2192.55,2194.6,9029
2193.4,2194.85,2190.6,2191.95,5359
2190.45,2192.95,2189.85,2192.4,4139
2192.4,2192.95,2190.0,2190.2,1447
2190.45,2191.0,2188.45,2190.7,3338
2190.7,2192.8,2190.5,2192.8,1787
2194.0,2195.1,2194.0,2194.0,5622
2193.9,2194.9,2192.05,2192.15,1482
2191.7,2196.0,2191.7,2196.0,4714
2198.3,2202.0,2197.0,2201.95,29637
2201.0,2204.65,2200.2,2200.25,14642
2200.95,2202.25,2199.2,2201.8,3004
2203.0,2203.7,2199.0,2199.0,5030
2198.0,2199.65,2195.35,2197.75,3377
2198.0,2198.65,2197.0,2197.0,1945
2195.5,2197.55,2193.9,2193.95,7151
2194.8,2197.35,2194.0,2196.45,2376
2196.5,2197.25,2194.6,2196.4,4801
2196.25,2197.0,2195.1,2195.25,1910
2195.45,2197.0,2195.1,2195.1,876
2196.25,2197.0,2196.2,2197.0,6647
2197.95,2197.95,2193.3,2195.5,4792
2195.3,2195.45,2191.7,2192.3,2775
2193.5,2193.5,2191.5,2192.1,3098
2192.05,2192.95,2188.95,2188.95,3831
2188.4,2190.0,2188.4,2189.85,1001
2190.0,2190.2,2189.45,2189.45,2233
2189.6,2189.6,2186.3,2186.55,4001
2186.6,2190.9,2186.6,2190.9,3212
2190.1,2190.45,2188.35,2188.35,836
2188.35,2189.3,2187.0,2188.95,2538
2188.2,2191.95,2187.95,2190.25,3642
2189.35,2193.0,2189.35,2192.2,2020
2193.0,2195.45,2193.0,2195.0,2403
2195.5,2197.0,2195.35,2196.55,1235
2196.2,2198.4,2195.1,2198.1,2836
2198.55,2200.15,2197.0,2197.0,6196
2197.0,2200.0,2197.0,2200.0,1189
2200.15,2206.85,2200.15,2206.7,9250
2206.75,2206.95,2204.7,2204.7,7454
2205.9,2206.5,2204.25,2205.9,3015
2205.9,2205.9,2203.35,2205.0,1839
2205.0,2205.0,2202.45,2202.5,1342
2203.5,2207.0,2203.0,2207.0,3620
2207.0,2207.7,2206.0,2207.0,3759
2207.05,2209.0,2206.85,2209.0,3765
2207.55,2209.95,2207.55,2209.25,7434
