Company Name,Date,Title,Description,Sentiment Score,Sentiment,URL
MARUTI,2025-02-25T06:26:45Z,Maruti Suzuki Initiates Production At Kharkhoda Plant In Haryana,The Kharkhoda plant in Haryana is Maruti Suzuki&#039;s largest manufacturing site in the country.,0.0,Neutral,https://www.ndtv.com/auto/maruti-suzuki-initiates-production-at-kharkhoda-plant-in-haryana-7789596
MARUTI,2025-02-25T06:25:44Z,Maruti Suzuki begins Kharkhoda plant with 2.50 lakh annual capacity,"Country’s largest passenger vehicle maker, Maruti Suzuki India Limited (MSIL) on Tuesday said it has begun commercial production at its Kharkhoda facility in Haryana.",-0.4215,Negative,https://www.thehindubusinessline.com/companies/maruti-suzuki-begins-kharkhoda-plant-with-250-lakh-annual-capacity/article69261016.ece
MARUTI,2025-02-25T06:09:28Z,Maruti Suzuki commences production at Kharkhoda plant in Haryana,"Maruti Suzuki India has commenced commercial production at its Kharkhoda facility in Haryana with an annual capacity of 2.5 lakh units, producing the Brezza SUV. This is the company's third plant in Haryana, contributing to a total annual production of 26 lak…",0.8271,Positive,https://economictimes.indiatimes.com/industry/auto/auto-news/maruti-suzuki-commences-production-at-kharkhoda-plant-in-haryana/articleshow/118548634.cms
MARUTI,2025-02-25T04:07:06Z,"Sensex gains over 250 points, defying global trends; Nifty back above 22,600","Indian stock indices Sensex and Nifty rose despite negative global cues, supported by gains in ICICI Bank, M&M, and Zomato. Asian markets fell due to concerns about US tariffs on Chinese investments. FIIs continued selling Indian equities, while DIIs kept buy…",0.9468,Positive,https://economictimes.indiatimes.com/markets/stocks/news/sensex-gains-over-150-points-defying-global-trends-nifty-back-above-22550/articleshow/118545201.cms
MARUTI,2025-02-25T04:04:05Z,"Sensex Gains 117 Points, Nifty Rises 31 Points In Early Trade",The Indian benchmark indices opened higher on Tuesday as buying was seen in the media and auto sectors in the early trade.,0.6249,Positive,https://www.ndtv.com/business-news/sensex-gains-117-points-nifty-rises-31-points-in-early-trade-7788714
MARUTI,2025-02-25T01:17:48Z,"Share Market Highlights 25 February 2025: Sensex, Nifty end flat with a positive bias; Bharti Airtel, M&M lead gains","Sensex, Nifty updates on 25 February 2025: Benchmark indices closed flat with a slight positive bias on Tuesday. The Sensex settled at 74,602.12, rising 147.71 points or 0.20%, while the Nifty 50 edged down 5.80 points or 0.03% to 22,547.55. Top gainers on th…",0.946,Positive,https://www.thehindubusinessline.com/markets/stock-market-highlights-25-february-2025/article69258617.ece
MARUTI,2025-02-24T18:35:00Z,"Sensex tumbles over 850 pts on weak global cues, FII outflows; sinks below 75k","MUMBAI, Feb 24: Falling for the fifth straight session on Monday, equity benchmark BSE Sensex plunged over 850 points to drop below the crucial 75,000 level, tracking a weak global market trend and unabated foreign fund outflows amid escalating trade tensions…",-0.8834,Negative,https://thehillstimes.in/business/sensex-tumbles-over-850-pts-on-weak-global-cues-fii-outflows-sinks-below-75k
MARUTI,2025-02-24T13:45:26Z,How small town Jewar became a booming real estate market,"Demand for property in Jewar, the site of the Noida International Airport, has taken off. Experts believe that the new airport will be a gamechanger for real estate along the Expressway, as well as in Greater Noida and Noida. We look at how those who invest i…",0.5106,Positive,https://www.livemint.com/industry/infrastructure/greater-noida-jewar-airport-godrej-properties-dlf-prestige-yamuna-expressway-real-estate-film-city-maruti-jil-gift-city-11740400775541.html
MARUTI,2025-02-24T11:48:12Z,"Sensex crashes below 75,000 as IT stocks drag, FIIs continue sell-off","IT heavyweights HCL Tech, TCS, Infosys, and Tech Mahindra led the decline, while M&M, Kotak Mahindra Bank, and Maruti bucked the trend.",-0.7579,Negative,https://www.thehindubusinessline.com/markets/sensex-crashes-below-75000-as-it-stocks-drag-fiis-continue-sell-off/article69258023.ece
MARUTI,2025-02-24T08:42:09Z,"Modified Maruti Suzuki Dzire All Set For NASCAR, Ditching Ola-Uber Attire",The Maruti Suzuki Dzire NASCAR edition is a design render giving the compact sedan a sporty avatar.,0.9136,Positive,https://www.ndtv.com/auto/modified-maruti-suzuki-dzire-all-set-for-nascar-ditching-ola-uber-attire-7782567
MARUTI,2025-02-24T07:27:57Z,5 Best Digital Marketing Courses In Thailand - 2025,Discover the 5 best digital marketing courses in Thailand for 2023. Compare top-rated programs with live online & in-person training. 1. Digital Vidya 2. AIT,0.9118,Positive,https://www.digitalvidya.com/blog/digital-marketing-courses-in-thailand/
MARUTI,2025-02-24T06:10:58Z,"Tesla India entry sparks panic, but are Indian auto stocks really in trouble?","Tesla’s India entry triggered a selloff in auto stocks, but analysts see limited long-term impact. Its premium pricing and manufacturing challenges reduce competition for domestic players. Instead, Tesla could accelerate EV adoption, benefiting Indian automak…",-0.639,Negative,https://economictimes.indiatimes.com/markets/stocks/news/tesla-india-entry-sparks-panic-but-are-indian-auto-stocks-really-in-trouble/articleshow/118523123.cms
MARUTI,2025-02-24T05:18:19Z,"Sensex drops below 75,000-mark; Nifty tanks 188 points on weak US markets, relentless FII selling","From the Sensex pack, HCL Tech, IndusInd Bank, Zomato, Tech Mahindra, Tata Consultancy Services, ICICI Bank, HDFC Bank and Power Grid were among the biggest laggards",-0.0516,Negative,https://www.thehindubusinessline.com/markets/sensex-drops-below-75000-mark-nifty-tanks-188-points-on-weak-us-markets-relentless-fii-selling/article69257074.ece
