Company Name,ISIN Code,Date,News Title,Source,Link
Angel One Ltd.,INE732I01013,2025-02-21T01:16:01Z,"Marvel reveals its full slate of May 2025 comics and covers featuring the Avengers, the X-Men, Spider-Man, and more",GamesRadar+,https://www.gamesradar.com/comics/marvel-comics/marvel-reveals-its-full-slate-of-may-2025-comics-and-covers-featuring-the-avengers-the-x-men-spider-man-and-more/
Angel One Ltd.,INE732I01013,2025-02-20T05:00:00Z,Rabindranath Tagore,Thefreedictionary.com,https://encyclopedia.thefreedictionary.com/Rabindranath+Tagore
Angel One Ltd.,INE732I01013,2025-02-18T01:10:56Z,"Stock Market Highlights 18 Feb 2025: Sensex, Nifty close marginally weaker as IT gains offset broader weakness",BusinessLine,https://www.thehindubusinessline.com/markets/stock-market-highlights-february-18-2025/article69229908.ece
Angel One Ltd.,INE732I01013,2025-02-17T21:51:08Z,Ilya Sutskever’s Safe Superintelligence reportedly raising $1B+ on $30B valuation,SiliconANGLE News,https://siliconangle.com/2025/02/17/ilya-sutskevers-safe-superintelligence-reportedly-raising-1b-30b-valuation/
Angel One Ltd.,INE732I01013,2025-02-16T12:28:12Z,"NHPC plans over ₹80,000 cr investment for 20GW PSP, eyes green energy arm listing by FY27",Livemint,https://www.livemint.com/companies/news/nhpc-plans-over-80-000-cr-investment-for-20-gw-psp-eyes-green-arm-listing-by-fy27-11739695513666.html
Angel One Ltd.,INE732I01013,2025-02-16T08:21:00Z,"Choreo LLC Invests $224,000 in The Boston Beer Company, Inc. (NYSE:SAM)",ETF Daily News,https://www.etfdailynews.com/2025/02/16/choreo-llc-invests-224000-in-the-boston-beer-company-inc-nysesam/
Angel One Ltd.,INE732I01013,2025-02-16T05:28:57Z,"Global trends, FIIs trading activity to drive market trends this week: Analysts",BusinessLine,https://www.thehindubusinessline.com/markets/global-trends-fiis-trading-activity-to-drive-market-trends-this-week-analysts/article69225553.ece
Angel One Ltd.,INE732I01013,2025-02-15T05:30:38Z,$1.25 million Green Township home sale among the week's top property transfers,The Cincinnati Enquirer,https://www.cincinnati.com/story/money/business/2025/02/15/1-25-million-green-township-home-sale-among-the-weeks-top-property-transfers/78538449007/
Angel One Ltd.,INE732I01013,2025-02-13T16:31:58Z,"Foreign Money, Alleged Lies, and Extremism—What GOP Senators Voting for Kash Patel Ignored",Mother Jones,https://www.motherjones.com/politics/2025/02/kash-patel-senate-republicans-fbi-extremism-lies-qanon-trump-revenge/
Angel One Ltd.,INE732I01013,2025-02-13T10:20:52Z,"1,226 Shares in The Boston Beer Company, Inc. (NYSE:SAM) Bought by Entropy Technologies LP",ETF Daily News,https://www.etfdailynews.com/2025/02/13/1226-shares-in-the-boston-beer-company-inc-nysesam-bought-by-entropy-technologies-lp/
Angel One Ltd.,INE732I01013,2025-02-13T03:16:37Z,"Flattish opening seen for Nifty, Sensex",BusinessLine,https://www.thehindubusinessline.com/markets/flattish-opening-seen-for-nifty-sensex/article69213774.ece
Angel One Ltd.,INE732I01013,2025-02-13T01:12:48Z,"Share Market Highlights 13 February 2025: Sensex, Nifty end lower as investors turn cautious ahead of Trump-Modi meeting",BusinessLine,https://www.thehindubusinessline.com/markets/share-market-highlights-13-february-2025/article69211647.ece
Angel One Ltd.,INE732I01013,2025-02-10T16:37:13Z,"Angel One MF launches Nifty Total Market ETF, Index Fund",BusinessLine,https://www.thehindubusinessline.com/markets/angel-one-launches-indias-first-nifty-total-market-index-fund-and-etf-offering-diversified-exposure-to-indian-equity-market/article69203980.ece
Angel One Ltd.,INE732I01013,2025-02-09T04:22:26Z,wg21 (v83),Isocpp.org,https://isocpp.org/wiki/faq/wg21?v83
Angel One Ltd.,INE732I01013,2025-02-07T12:00:00Z,Where to Pickup a Copy of Our February 2025 Issue,TheStranger.com,https://www.thestranger.com/find-valentines25
Angel One Ltd.,INE732I01013,2025-02-07T09:30:00Z,Deception Technology Market to Worth Over US$ 3.97 Billion by 2033 | Astute Analytica,GlobeNewswire,https://www.globenewswire.com/news-release/2025/02/07/3022608/0/en/Deception-Technology-Market-to-Worth-Over-US-3-97-Billion-by-2033-Astute-Analytica.html
Angel One Ltd.,INE732I01013,2025-02-07T02:10:26Z,"Sensex, Nifty eye RBI policy decision; flat opening expected",BusinessLine,https://www.thehindubusinessline.com/markets/sensex-nifty-eye-rbi-policy-decision-flat-opening-expected/article69190841.ece
Angel One Ltd.,INE732I01013,2025-02-07T01:15:20Z,"Share Market Highlights 7 February 2025: Sensex, Nifty settle lower after RBI cuts repo rate to 6.25%; FIIs continue selling spree",BusinessLine,https://www.thehindubusinessline.com/markets/stock-market-updates-february-7-2025/article69188765.ece
